SP/SM,Num SM,Cluster ID,Data (Transfer) Size (in Bytes),Ratio of Global Access,Ratio of FP Instructions,Ratio of Branch Inst,Speedup,Num Blocks,Num Threads,Application Name,PCIe Bandwidth,Class
64,80,3,400000000,0.01,0,0.034,3.097345,195313,512,Histogram,4,Minimal
64,68,2,40000000,0.01,0,0.034,3.174603,19532,512,Histogram,4,Minimal
192,15,5,4000000,0.01,0,0.034,3.460208,1954,512,Histogram,15.75,Minimal
64,80,3,40000000,0.01,0,0.034,3.496503,19532,512,Histogram,4,Minimal
192,15,1,400000000,0.01,0,0.034,3.728814,195313,512,Histogram,4,Minimal
64,80,3,400000,0.03,0.05,0.08,4.260869565,64,256,Reduction,4,Minimal
192,15,1,400000,0.03,0.05,0.08,4.264705882,64,256,Reduction,4,Minimal
128,24,4,400000,0.03,0.05,0.08,4.541666667,64,256,Reduction,15.75,Minimal
64,68,2,409600,0.086,0,0.036,4.672897,2,256,MergeSort,4,Minimal
64,68,2,100000001,0.82,0,0.032,5.492131,1562501,64,PrimeGen,4,Minimal
128,24,4,4000000,0.01,0,0.034,5.524862,1954,512,Histogram,15.75,Minimal
64,68,2,400000000,0.01,0,0.034,6.124234,195313,512,Histogram,4,Minimal
64,80,3,4000000,0.01,0,0.034,6.17284,1954,512,Histogram,4,Minimal
192,15,5,4000000,0.03,0.05,0.08,11.19277108,64,256,Reduction,15.75,Moderate
128,24,4,4000000,0.03,0.05,0.08,31.82352941,64,256,Reduction,15.75,Moderate
64,80,3,4000000,0.03,0.05,0.08,38.96,64,256,Reduction,4,Moderate
192,15,1,4000000,0.03,0.05,0.08,40.55555556,64,256,Reduction,4,Moderate
192,15,5,409600,0.086,0,0.036,43.02926,2,256,MergeSort,15.75,Moderate
64,68,2,4000000,0.03,0.05,0.08,44.76190476,64,256,Reduction,4,Moderate
192,15,1,409600,0.086,0,0.036,45.08566,2,256,MergeSort,4,Moderate
64,80,3,409600,0.086,0,0.036,45.6621,2,256,MergeSort,4,Moderate
192,15,5,4096000,0.086,0,0.036,48.79433,16,256,MergeSort,15.75,Moderate
192,15,1,4096000,0.086,0,0.036,50.75222,16,256,MergeSort,4,Moderate
128,24,4,4096000,0.086,0,0.036,57.62082,16,256,MergeSort,15.75,Moderate
64,80,3,4096000,0.086,0,0.036,59.50096,16,256,MergeSort,4,Moderate
128,24,4,409600,0.086,0,0.036,59.66587,2,256,MergeSort,15.75,Moderate
64,68,2,4096000,0.086,0,0.036,81.23249,16,256,MergeSort,4,Moderate
128,24,4,40000000,0.03,0.05,0.08,203.8301887,64,256,Reduction,15.75,High
192,15,5,40000000,0.03,0.05,0.08,210.8333333,64,256,Reduction,15.75,High
64,68,2,40000000,0.03,0.05,0.08,278.2413793,64,256,Reduction,4,High
128,24,4,400000000,0.03,0.05,0.08,300.2522796,64,256,Reduction,15.75,High
192,15,1,40000000,0.03,0.05,0.08,303.3055556,64,256,Reduction,4,High
192,15,5,400000000,0.03,0.05,0.08,320.039724,64,256,Reduction,15.75,High
64,80,3,40000000,0.03,0.05,0.08,327.65,64,256,Reduction,4,High
192,15,1,400000000,0.03,0.05,0.08,342.200627,64,256,Reduction,4,High
64,68,2,400000000,0.03,0.05,0.08,394.2240664,64,256,Reduction,4,High
64,80,3,400000000,0.03,0.05,0.08,492.8207547,64,256,Reduction,4,High
192,15,1,2048000000,0.02,0.34,0.03,891.6894543,500,1024,Matmul,4,High
192,15,1,327680000,0.02,0.34,0.03,894.6877912,200,1024,Matmul,4,High
192,15,1,81920000,0.02,0.34,0.03,895.5223881,100,1024,Matmul,4,High
192,15,5,327680000,0.02,0.34,0.03,914.2857143,200,1024,Matmul,15.75,High
192,15,5,20480000,0.02,0.34,0.03,937.5,50,1024,Matmul,15.75,High
192,15,5,81920000,0.02,0.34,0.03,944.8818898,100,1024,Matmul,15.75,High
128,24,4,40960,0.086,0,0.036,1093.75,1,256,MergeSort,15.75,High
192,15,5,2048000000,0.02,0.34,0.03,1355.503344,500,1024,Matmul,15.75,High
64,68,2,327680000,0.02,0.34,0.03,1536,200,1024,Matmul,4,High
